key,result,diff,opponent
2023-14-Adam,Loss,26,
2023-14-Kev,Loss,22,
2023-14-Ross,Win,13,
2023-2-AJ,Win,2,
2023-2-Adam,Loss,17,
2023-2-Kev,Loss,36,
2023-2-Ross,Win,18,
2023-3-AJ,Win,1,
2023-3-Adam,Win,10,
2023-3-Kev,Loss,13,
2023-3-Ross,Win,17,
2023-4-AJ,Win,2,
2023-4-Adam,Win,10,
2023-4-Kev,Win,6,
2023-4-Ross,Win,9,
2023-5-AJ,Loss,15,
2023-5-Adam,Loss,10,
2023-5-Kev,Loss,4,
2023-5-Ross,Win,4,
2023-6-AJ,Win,24,
2023-6-Adam,Loss,20,
2023-6-Kev,Win,24,
2023-6-Ross,Win,23,
2023-7-AJ,Win,2,
2023-7-Adam,Win,7,
2023-7-Kev,Win,2,
2023-7-Ross,Win,19,
2023-8-AJ,Loss,9,
2023-8-Adam,Loss,16,
2023-8-Kev,Loss,12,
2023-8-Ross,Loss,4,
2023-9-AJ,Win,31,
2023-9-Adam,Loss,6,
2023-9-Kev,Loss,15,
2023-9-Ross,Win,12,
2024-1-AJ,Loss,1,
2024-1-Adam,Loss,21,
2024-1-Kev,Win,24,
2024-1-Ross,Win,2,
2024-10-AJ,Win,5,
2024-10-Adam,Win,1,
2024-10-Kev,Loss,25,
2024-10-Ross,Win,11,
2024-11-AJ,Win,15,
2024-11-Adam,Loss,11,
2024-11-Kev,Win,46,
2024-11-Ross,Loss,11,
2024-12-AJ,Loss,20,
2024-12-Adam,Loss,2,
2024-12-Kev,Loss,13,
2024-12-Ross,Loss,11,
2024-13-AJ,Win,13,
2024-13-Adam,Loss,35,
2024-13-Kev,Loss,19,
2024-13-Ross,Win,21,
2024-14-AJ,Win,30,
2024-14-Adam,Win,15,
2024-14-Kev,Win,34,
2024-14-Ross,Win,6,
2024-15-AJ,Loss,5,
2024-15-Adam,Win,10,
2024-15-Kev,Win,25,
2024-15-Ross,Win,6,
2024-2-AJ,Win,6,
2024-2-Adam,Loss,4,
2024-2-Kev,Win,15,
2024-2-Ross,Loss,12,
2024-3-AJ,Win,10,
2024-3-Adam,Win,26,
2024-3-Kev,Win,11,
2024-3-Ross,Win,15,
2024-4-AJ,Loss,15,
2024-4-Adam,Win,21,
2024-4-Kev,Loss,6,
2024-4-Ross,Win,4,
2024-5-AJ,Win,39,
2024-5-Adam,Loss,19,
2024-5-Kev,Win,21,
2024-5-Ross,Win,8,
2024-6-AJ,Loss,25,
2024-6-Adam,Loss,2,
2024-6-Kev,Win,16,
2024-6-Ross,Win,9,
2024-7-AJ,Win,9,
2024-7-Adam,Win,1,
2024-7-Kev,Loss,1,
2024-7-Ross,Loss,4,
2024-8-AJ,Win,9,
2024-8-Adam,Win,13,
2024-8-Kev,Win,26,
2024-8-Ross,Loss,16,
2024-9-AJ,Win,23,
2024-9-Adam,Push,-,
2024-9-Kev,Win,3,
2024-9-Ross,Win,2,
2025-0-AJ,Win,7,
2025-0-Adam,Win,11,
2025-0-Kev,Loss,6,
2025-0-Ross,Win,5,
2025-1-AJ,Loss,8,
2025-1-Adam,Win,2,
2025-1-Kev,Loss,13,
2025-1-Ross,Win,4,
2025-10-AJ,Loss,8,
2025-10-Adam,Loss,10,
2025-10-Kev,Win,18,
2025-10-Ross,Loss,9,
2025-11-AJ,Loss,1,
2025-11-Adam,Win,2,
2025-11-Kev,Win,12,
2025-11-Ross,Loss,12,
2025-12-AJ,Win,4,
2025-12-Adam,Win,19,
2025-12-Kev,Loss,2,
2025-12-Ross,Loss,2,
2025-13-AJ,Loss,9,
2025-13-Adam,Win,4,
2025-13-Kev,Win,5,
2025-13-Ross,Loss,24,
2025-14-AJ,Win,24,
2025-14-Adam,Win,3,
2025-14-Kev,Loss,4,
2025-14-Ross,Win,25,
2025-15-AJ,Loss,7,
2025-15-Adam,Loss,24,
2025-15-Kev,Win,14,
2025-15-Ross,Loss,15,
2025-2-AJ,Win,1,
2025-2-Adam,Win,18,
2025-2-Kev,Win,1,
2025-2-Ross,Loss,17,
2025-3-AJ,Win,1,
2025-3-Adam,Loss,15,
2025-3-Kev,Loss,1,
2025-3-Ross,Win,12,
2025-4-AJ,Loss,27,
2025-4-Adam,Loss,28,
2025-4-Kev,Loss,10,
2025-4-Ross,Loss,27,
2025-5-AJ,Win,4,
2025-5-Adam,Loss,10,
2025-5-Kev,Loss,3,
2025-5-Ross,Loss,22,
2025-6-AJ,Loss,14,
2025-6-Adam,Loss,5,
2025-6-Kev,Win,1,
2025-6-Ross,Win,6,
2025-7-AJ,Win,11,
2025-7-Adam,Loss,2,
2025-7-Kev,Loss,22,
2025-7-Ross,Loss,17,
2025-8-AJ,Loss,4,
2025-8-Adam,Loss,15,
2025-8-Kev,Push,-,at Notre Dame
2025-8-Ross,Loss,16,
2025-9-AJ,Win,6,
2025-9-Adam,Loss,17,
2025-9-Kev,Win,4,
2025-9-Ross,Win,5,
2026-0-AJ,Loss,,
2026-0-Adam,Loss,,
2026-0-Kev,Win,,
2026-0-Ross,Win,,
2026-1-AJ,Win,16,at Stanford
2026-1-Adam,Loss,28,at Tulsa
2026-1-Kev,Win,11,vs East Carolina
2026-1-Ross,Push,-,at Florida State
2026-2-AJ,Win,2,at Pittsburgh
2026-2-Adam,Loss,10,vs Duke
2026-2-Kev,Loss,1,vs Jacksonville State
2026-2-Ross,Loss,11,vs Iowa State
2026-3-Adam,Win,6,at Texas Tech
2026-3-Ross,Loss,4,at Pittsburgh
